Concentration 	 Intensity 	 Mean V 	 STD V 

1	353.412000	354.180000	0.712461
1	353.112000	353.880000	0.587878
1	352.056000	352.824000	1.464590
0.5	413.340000	414.108000	0.558870
0.5	413.016000	413.784000	1.051353
0.5	410.016000	410.784000	3.643260
0.2	332.316000	333.084000	0.494918
0.2	331.908000	332.676000	0.931141
0.2	331.308000	332.076000	1.385000
0.1	210.804000	211.572000	1.498271
0.1	211.008000	211.776000	1.474389
0.1	210.972000	211.740000	1.480676
0.05	117.204000	117.972000	1.404000
0.05	117.072000	117.840000	1.346997
0.05	116.760000	117.528000	1.203834
0.02	55.644000	56.412000	1.190906
0.02	55.596000	56.364000	1.226175
0.02	55.644000	56.412000	1.190906
