Concentration , Intensity , Mean V , STD V ,,,,,,
,,,,,,,,,
0,5.736,5.736,0.849885,,,,,,
20,55.008,55.008,2.627534,,,,,,
40,108,108,0,,,,,,
60,137.1,137.1,3.002999,,,,,,
80,173.856,173.856,0.641299,,,100,162.348,162.348,0.960675
100,,167.667,,,167.667,100,169.644,170.376,1.21763
120,193.68,193.68,4.163844,,,100,168.972,169.704,1.486063
140,192,192,0,,,100,167.508,168.24,0.81388
0,5.004,6,0,,,,,,
0,5.004,6,0,,,,,,
20,50.004,51,0,,,,,,
20,50.76,51.756,1.302484,,,,,,
40,92.004,93,0,,,,,,
40,92.004,93,0,,,,,,
60,117.792,118.788,1.472092,,,,,,
60,116.004,117,0,,,,,,
80,156.144,157.14,1.456159,,,,,,
80,154.536,155.532,1.664024,,,,,,
120,182.004,183,0,,,,,,
120,182.004,183,0,,,,,,
140,185.004,186,0,,,,,,
140,185.004,186,0,,,,,,
100,156.156,157.152,1.459074,,,,,,
100,155.004,156,0,,,,,,
